tension;current;power
0,00;0,0182;0,000000
0,02;0,0183;0,000366
0,06;0,0182;0,001092
0,10;0,0182;0,001820
0,14;0,0181;0,002534
0,18;0,0180;0,003240
0,22;0,0178;0,003916
0,26;0,0174;0,004524
0,30;0,0165;0,004950
0,30;0,0166;0,004980
0,31;0,0163;0,005053
0,32;0,0161;0,005152
0,33;0,0159;0,005247
0,34;0,0156;0,005304
0,35;0,0153;0,005355
0,36;0,0149;0,005364
0,37;0,0145;0,005365
0,38;0,0141;0,005358
0,39;0,0139;0,005421
0,40;0,0136;0,005440
0,41;0,0132;0,005412
0,42;0,0126;0,005292
0,43;0,0122;0,005246
0,44;0,0117;0,005148
0,45;0,0114;0,005130
0,46;0,0110;0,005060
0,46;0,0108;0,004968
0,47;0,0103;0,004841
0,48;0,0097;0,004656
0,50;0,0089;0,004450
0,54;0,0071;0,003834
0,58;0,0046;0,002668
0,62;0,0020;0,001240
0,66;0,0000;0,000000
